id,preference_text,can_walk
0,Free time available,1
1,Free time available,1
2,Not feeling motivated,0
3,I need rest today,0
4,Feeling motivated today,1
5,I have a headache,0
6,Want to stay fit,1
7,I have a headache,0
8,Doctor advised walking,1
9,Weather is bad,0
10,Feeling energetic,1
11,Free time available,1
12,Feeling energetic,1
13,Want to improve my health,1
14,Feeling energetic,1
15,I got an injury,0
16,I slept well,1
17,I need rest today,0
18,Nice weather outside,1
19,Want to improve my health,1
20,I enjoy walking,1
21,I need rest today,0
22,I am tired after work,0
23,Free time available,1
24,Feeling energetic,1
25,My legs are sore,0
26,Not feeling motivated,0
27,I need rest today,0
28,Want to stay fit,1
29,I have a headache,0
30,Weather is bad,0
31,I enjoy walking,1
32,I enjoy walking,1
33,Too much workload,0
34,Trying to stay active,1
35,Want to improve my health,1
36,Feeling motivated today,1
37,I have a headache,0
38,Doctor advised walking,1
39,I am tired after work,0
40,I have a headache,0
41,I enjoy walking,1
42,Weather is bad,0
43,Trying to stay active,1
44,Doctor advised walking,1
45,Free time available,1
46,Trying to stay active,1
47,My legs are sore,0
48,Weather is bad,0
49,Not feeling motivated,0
50,Trying to stay active,1
51,My legs are sore,0
52,Trying to stay active,1
53,Free time available,1
54,Too stressed to go out,0
55,Nice weather outside,1
56,I got an injury,0
57,Want to improve my health,1
58,Too much workload,0
59,Nice weather outside,1
60,Not feeling motivated,0
61,Trying to stay active,1
62,Trying to stay active,1
63,Trying to stay active,1
64,Nice weather outside,1
65,I got an injury,0
66,Too stressed to go out,0
67,Not feeling motivated,0
68,Nice weather outside,1
69,Feeling sick today,0
70,Doctor advised walking,1
71,Want to stay fit,1
72,Want to stay fit,1
73,Not feeling motivated,0
74,Feeling energetic,1
75,Want to improve my health,1
76,Not feeling motivated,0
77,I have a headache,0
78,Feeling motivated today,1
79,Feeling motivated today,1
80,Want to improve my health,1
81,Nice weather outside,1
82,Nice weather outside,1
83,Free time available,1
84,Feeling motivated today,1
85,I need rest today,0
86,Nice weather outside,1
87,I got an injury,0
88,Want to improve my health,1
89,My legs are sore,0
90,Too stressed to go out,0
91,I am tired after work,0
92,Feeling energetic,1
93,Trying to stay active,1
94,My legs are sore,0
95,Free time available,1
96,Too much workload,0
97,Free time available,1
98,My legs are sore,0
99,Feeling motivated today,1
100,Nice weather outside,1
101,Feeling energetic,1
102,Feeling energetic,1
103,Too much workload,0
104,Free time available,1
105,I am tired after work,0
106,Feeling energetic,1
107,Trying to stay active,1
108,Want to improve my health,1
109,Want to improve my health,1
110,I got an injury,0
111,Nice weather outside,1
112,I have a headache,0
113,I need rest today,0
114,Weather is bad,0
115,Weather is bad,0
116,Free time available,1
117,Free time available,1
118,Feeling sick today,0
119,Trying to stay active,1
120,Too stressed to go out,0
121,Free time available,1
122,Too stressed to go out,0
123,Too stressed to go out,0
124,I slept well,1
125,I slept well,1
126,Doctor advised walking,1
127,Feeling energetic,1
128,Feeling motivated today,1
129,Not feeling motivated,0
130,I need rest today,0
131,I enjoy walking,1
132,Trying to stay active,1
133,Feeling motivated today,1
134,Want to stay fit,1
135,I need rest today,0
136,I have a headache,0
137,Trying to stay active,1
138,Trying to stay active,1
139,My legs are sore,0
140,Trying to stay active,1
141,My legs are sore,0
142,Want to stay fit,1
143,Doctor advised walking,1
144,Doctor advised walking,1
145,I got an injury,0
146,Weather is bad,0
147,Feeling motivated today,1
148,Want to improve my health,1
149,I have a headache,0
